# # Time 	 R_dot 	 Theta_dot 
# 
6.864501952999999546e-01	-4.684795010000000239e-03	-1.415713059874092943e-16
6.919859095999999488e-01	-4.789746390000000284e-03	-1.102990757244011272e-16
6.975216239000000540e-01	-4.895721637999999633e-03	-1.019239771688668947e-16
7.030573382000000482e-01	-5.002713245999999662e-03	-1.187256767069070017e-16
7.085930525000000424e-01	-5.110713997999999716e-03	-1.616804818098864923e-16
7.141287667000000283e-01	-5.219716812000000337e-03	-2.279961385605628556e-16
7.196644810000000225e-01	-5.329714761999999710e-03	-3.119323536951701168e-16
7.252001953000000167e-01	-5.440700829999999856e-03	-4.082329253269433480e-16
7.307359096000000109e-01	-5.552667978000000275e-03	-5.135107405229827336e-16
7.362716239000000051e-01	-5.665609044000000094e-03	-6.239417358615145223e-16
7.418073381999999993e-01	-5.779516983999999705e-03	-7.327658612943806527e-16
7.473430524999999935e-01	-5.894384814000000125e-03	-8.315984882018837839e-16
7.528787666999999795e-01	-6.010205781999999712e-03	-9.152249939304205728e-16
7.584144809999999737e-01	-6.126973194000000060e-03	-9.835148125847126195e-16
7.639501952999999679e-01	-6.244680447999999794e-03	-1.039749777757901334e-15
7.694859095999999621e-01	-6.363353526000000045e-03	-1.087751318159812071e-15
7.750216238999999563e-01	-6.482920732000000200e-03	-1.121053241374345533e-15
7.805573381999999505e-01	-6.603407670000000299e-03	-1.158867955960968669e-15
7.860930524999999447e-01	-6.724807781999999658e-03	-1.192884787758857306e-15
7.916287667000000416e-01	-6.847114617999999764e-03	-1.222996538348618485e-15
7.971644810000000358e-01	-6.970321940000000389e-03	-1.247615445724439742e-15
8.027001953000000301e-01	-7.094423552000000271e-03	-1.263305209232221290e-15
8.082359096000000243e-01	-7.219413309999999674e-03	-1.266777702927598372e-15
8.137716239000000185e-01	-7.345284998000000017e-03	-1.257722948610237233e-15
8.193073382000000127e-01	-7.472032418000000044e-03	-1.238835105497118769e-15
8.248430525000000069e-01	-7.599649386000000180e-03	-1.212886038353211638e-15
8.303787666999999928e-01	-7.728129884000000185e-03	-1.181953474614195714e-15
8.359144809999999870e-01	-7.857468010000000225e-03	-1.149255647181587396e-15
8.414501952999999812e-01	-7.987658038000000627e-03	-1.118630723596403717e-15
8.469859095999999754e-01	-8.118694283999999817e-03	-1.092108448901743503e-15
8.525216238999999696e-01	-8.250571107999999515e-03	-1.058881476639885324e-15
8.580573381999999638e-01	-8.383282836000000710e-03	-1.037557252356819323e-15
8.635930524999999580e-01	-8.516823838000000743e-03	-1.018772300718833098e-15
8.691287667000000550e-01	-8.651188524000000268e-03	-1.004265214771495514e-15
8.746644810000000492e-01	-8.786371451999999346e-03	-9.955251529864533572e-16
8.802001953000000434e-01	-8.922367282000000233e-03	-9.933514156568896042e-16
8.857359096000000376e-01	-9.059170805999999451e-03	-9.982309974475055168e-16
8.912716239000000318e-01	-9.196776849999999462e-03	-1.010726972969279262e-15
8.968073382000000260e-01	-9.335180289999999922e-03	-1.031317704038814582e-15
9.023430525000000202e-01	-9.474376007999999599e-03	-1.048292785651199956e-15
9.078787667000000061e-01	-9.614358951999999597e-03	-1.079192344517766826e-15
9.134144810000000003e-01	-9.755124139999999874e-03	-1.107711776710603935e-15
9.189501952999999945e-01	-9.896666705999999925e-03	-1.129766776662347065e-15
9.244859095999999887e-01	-1.003898186999999977e-02	-1.143996698278765906e-15
9.300216238999999829e-01	-1.018206493399999996e-02	-1.153001223254949133e-15
9.355573381999999771e-01	-1.032591124800000086e-02	-1.161982247366602427e-15
9.410930524999999713e-01	-1.047051619399999925e-02	-1.174970743684226064e-15
9.466287666999999573e-01	-1.061587519599999953e-02	-1.180386934130734839e-15
9.521644809999999515e-01	-1.076198373800000066e-02	-1.197134995091877128e-15
9.577001952999999457e-01	-1.090883737599999959e-02	-1.211067990231833344e-15
9.632359096000000509e-01	-1.105643174800000073e-02	-1.223542753589083869e-15
9.687716239000000451e-01	-1.120476257199999950e-02	-1.236781872391483318e-15
9.743073382000000393e-01	-1.135382562000000067e-02	-1.250313946818094904e-15
9.798430525000000335e-01	-1.150361670999999926e-02	-1.261142107846741477e-15
9.853787667000000194e-01	-1.165413168999999971e-02	-1.266634510067812467e-15
9.909144810000000136e-01	-1.180536645599999934e-02	-1.266032562730075540e-15
9.964501953000000078e-01	-1.195731695399999961e-02	-1.260291697661309930e-15
1.001985909999999924e+00	-1.210997920999999991e-02	-1.252822064488263698e-15
1.007521624000000005e+00	-1.226334932599999934e-02	-1.248506066768979132e-15
1.013057338000000085e+00	-1.241742349600000010e-02	-1.251378223303668177e-15
1.018593051999999943e+00	-1.257219796399999985e-02	-1.263154829281009633e-15
1.024128767000000106e+00	-1.272766903600000034e-02	-1.271624124281626567e-15
1.029664480999999965e+00	-1.288383303200000066e-02	-1.301131241342399550e-15
1.035200195000000045e+00	-1.304068631999999971e-02	-1.333619686526664585e-15
1.040735909999999986e+00	-1.319822527199999984e-02	-1.360482927711559712e-15
1.046271624000000067e+00	-1.335644631999999971e-02	-1.375525139011549571e-15
1.051807337999999925e+00	-1.351534591000000049e-02	-1.379736707182192015e-15
1.057343052000000005e+00	-1.367492057000000046e-02	-1.365294056823912878e-15
1.062878766999999947e+00	-1.383516686200000033e-02	-1.363159932762011137e-15
1.068414481000000027e+00	-1.399608145600000041e-02	-1.361526464745970128e-15
1.073950195000000107e+00	-1.415766108200000074e-02	-1.361152409478947709e-15
1.079485910000000048e+00	-1.431990259799999915e-02	-1.362440306835270550e-15
1.085021623999999907e+00	-1.448280289400000025e-02	-1.365648078614003501e-15
1.090557337999999987e+00	-1.464635893000000057e-02	-1.371637630924726588e-15
1.096093052000000068e+00	-1.481056761199999947e-02	-1.382543088004757792e-15
1.101628767000000009e+00	-1.497542584400000064e-02	-1.400241818044914859e-15
1.107164481000000089e+00	-1.514093043600000035e-02	-1.424016675761731014e-15
