# ############################################################################### 
# # ProperDistance.asc
# # 1:it	2:time	3:distance
# 
3.148800000000000000e+04	6.808928571000000263e-01	1.572933674999999987e+01
3.174400000000000000e+04	6.864285714000000205e-01	1.572754605000000083e+01
3.200000000000000000e+04	6.919642857000000147e-01	1.572574189000000011e+01
3.225600000000000000e+04	6.975000000000000089e-01	1.572392418999999997e+01
3.251200000000000000e+04	7.030357143000000031e-01	1.572209353000000043e+01
3.276800000000000000e+04	7.085714285999999973e-01	1.572024977000000057e+01
3.302400000000000000e+04	7.141071428999999915e-01	1.571839332999999961e+01
3.328000000000000000e+04	7.196428570999999774e-01	1.571652431000000050e+01
3.353600000000000000e+04	7.251785713999999716e-01	1.571464296000000083e+01
3.379200000000000000e+04	7.307142856999999658e-01	1.571274958999999960e+01
3.404800000000000000e+04	7.362499999999999600e-01	1.571084431000000059e+01
3.430400000000000000e+04	7.417857142999999542e-01	1.570892744000000008e+01
3.456000000000000000e+04	7.473214285999999484e-01	1.570699916999999957e+01
3.481600000000000000e+04	7.528571429000000537e-01	1.570505975999999926e+01
3.507200000000000000e+04	7.583928571000000396e-01	1.570310948000000018e+01
3.532800000000000000e+04	7.639285714000000338e-01	1.570114854999999920e+01
3.558400000000000000e+04	7.694642857000000280e-01	1.569917723000000009e+01
3.584000000000000000e+04	7.750000000000000222e-01	1.569719577000000044e+01
3.609600000000000000e+04	7.805357143000000164e-01	1.569520456999999958e+01
3.635200000000000000e+04	7.860714286000000106e-01	1.569320373999999951e+01
3.660800000000000000e+04	7.916071429000000048e-01	1.569119361999999995e+01
3.686400000000000000e+04	7.971428570999999907e-01	1.568917453000000073e+01
3.712000000000000000e+04	8.026785713999999849e-01	1.568714677000000002e+01
3.737600000000000000e+04	8.082142856999999792e-01	1.568511061000000062e+01
3.763200000000000000e+04	8.137499999999999734e-01	1.568306637999999964e+01
3.788800000000000000e+04	8.192857142999999676e-01	1.568101438000000059e+01
3.814400000000000000e+04	8.248214285999999618e-01	1.567895496000000044e+01
3.840000000000000000e+04	8.303571428999999560e-01	1.567688831999999977e+01
3.865600000000000000e+04	8.358928571000000529e-01	1.567481470000000066e+01
3.891200000000000000e+04	8.414285714000000471e-01	1.567273445000000009e+01
3.916800000000000000e+04	8.469642857000000413e-01	1.567064792000000040e+01
3.942400000000000000e+04	8.525000000000000355e-01	1.566855546999999937e+01
3.968000000000000000e+04	8.580357143000000297e-01	1.566645748000000005e+01
3.993600000000000000e+04	8.635714286000000239e-01	1.566435433000000010e+01
4.019200000000000000e+04	8.691071429000000181e-01	1.566224640999999984e+01
4.044800000000000000e+04	8.746428571000000041e-01	1.566013412000000038e+01
4.070400000000000000e+04	8.801785713999999983e-01	1.565801787999999917e+01
4.096000000000000000e+04	8.857142856999999925e-01	1.565589809999999993e+01
4.121600000000000000e+04	8.912499999999999867e-01	1.565377521999999999e+01
4.147200000000000000e+04	8.967857142999999809e-01	1.565164970000000011e+01
4.172800000000000000e+04	9.023214285999999751e-01	1.564952195999999951e+01
4.198400000000000000e+04	9.078571428999999693e-01	1.564739246999999978e+01
4.224000000000000000e+04	9.133928570999999552e-01	1.564526163999999930e+01
4.249600000000000000e+04	9.189285713999999494e-01	1.564313010999999953e+01
4.275200000000000000e+04	9.244642857000000546e-01	1.564099840999999991e+01
4.300800000000000000e+04	9.300000000000000488e-01	1.563886686999999931e+01
4.326400000000000000e+04	9.355357143000000431e-01	1.563673610999999930e+01
4.352000000000000000e+04	9.410714286000000373e-01	1.563460661000000052e+01
4.377600000000000000e+04	9.466071429000000315e-01	1.563247886000000086e+01
4.403200000000000000e+04	9.521428571000000174e-01	1.563035363000000011e+01
4.428800000000000000e+04	9.576785714000000116e-01	1.562823153999999981e+01
4.454400000000000000e+04	9.632142857000000058e-01	1.562611296000000038e+01
4.480000000000000000e+04	9.687500000000000000e-01	1.562399841000000045e+01
4.505600000000000000e+04	9.742857142999999942e-01	1.562188882000000056e+01
4.531200000000000000e+04	9.798214285999999884e-01	1.561978487000000015e+01
4.556800000000000000e+04	9.853571428999999826e-01	1.561768681000000036e+01
4.582400000000000000e+04	9.908928570999999685e-01	1.561559551999999940e+01
4.608000000000000000e+04	9.964285713999999627e-01	1.561351205000000064e+01
4.633600000000000000e+04	1.001964285999999982e+00	1.561143638999999972e+01
4.659200000000000000e+04	1.007500000000000062e+00	1.560936987999999914e+01
4.684800000000000000e+04	1.013035713999999921e+00	1.560731310000000072e+01
4.710400000000000000e+04	1.018571429000000084e+00	1.560526637000000072e+01
4.736000000000000000e+04	1.024107142999999942e+00	1.560323140999999936e+01
4.761600000000000000e+04	1.029642857000000022e+00	1.560120786000000059e+01
4.787200000000000000e+04	1.035178571000000103e+00	1.559919780000000067e+01
4.812800000000000000e+04	1.040714286000000044e+00	1.559720075999999978e+01
4.838400000000000000e+04	1.046249999999999902e+00	1.559521890000000077e+01
4.864000000000000000e+04	1.051785713999999983e+00	1.559325177999999923e+01
4.889600000000000000e+04	1.057321428999999924e+00	1.559130172000000059e+01
4.915200000000000000e+04	1.062857143000000004e+00	1.558936826000000053e+01
4.940800000000000000e+04	1.068392857000000085e+00	1.558745346999999981e+01
4.966400000000000000e+04	1.073928570999999943e+00	1.558555772000000061e+01
4.992000000000000000e+04	1.079464286000000106e+00	1.558368195000000078e+01
5.017600000000000000e+04	1.084999999999999964e+00	1.558182794000000015e+01
5.043200000000000000e+04	1.090535714000000045e+00	1.557999575000000014e+01
5.068800000000000000e+04	1.096071428999999986e+00	1.557818690000000039e+01
5.094400000000000000e+04	1.101607143000000066e+00	1.557640295999999935e+01
5.120000000000000000e+04	1.107142856999999925e+00	1.557464436000000063e+01
5.145600000000000000e+04	1.112678571000000005e+00	1.557291217999999944e+01
5.171200000000000000e+04	1.118214285999999946e+00	1.557120824999999975e+01
5.196800000000000000e+04	1.123750000000000027e+00	1.556953355999999999e+01
5.222400000000000000e+04	1.129285714000000107e+00	1.556788914000000013e+01
5.248000000000000000e+04	1.134821429000000048e+00	1.556627633999999993e+01
5.273600000000000000e+04	1.140357142999999907e+00	1.556469638999999994e+01
5.299200000000000000e+04	1.145892856999999987e+00	1.556315095000000071e+01
5.324800000000000000e+04	1.151428571000000067e+00	1.556164139999999918e+01
5.350400000000000000e+04	1.156964286000000008e+00	1.556016890000000075e+01
5.376000000000000000e+04	1.162500000000000089e+00	1.555873500999999948e+01
5.401600000000000000e+04	1.168035713999999947e+00	1.555734123000000046e+01
5.427200000000000000e+04	1.173571429000000110e+00	1.555598909999999968e+01
5.452800000000000000e+04	1.179107142999999969e+00	1.555468021999999984e+01
5.478400000000000000e+04	1.184642857000000049e+00	1.555341619999999914e+01
5.504000000000000000e+04	1.190178570999999907e+00	1.555219869999999993e+01
5.529600000000000000e+04	1.195714286000000071e+00	1.555102942999999982e+01
5.555200000000000000e+04	1.201249999999999929e+00	1.554991013999999971e+01
5.580800000000000000e+04	1.206785714000000009e+00	1.554884262999999933e+01
5.606400000000000000e+04	1.212321428999999950e+00	1.554782872000000005e+01
5.632000000000000000e+04	1.217857143000000031e+00	1.554687033000000085e+01
5.657600000000000000e+04	1.223392856999999889e+00	1.554596938000000073e+01
5.683200000000000000e+04	1.228928570999999970e+00	1.554512800000000006e+01
5.708800000000000000e+04	1.234464285999999911e+00	1.554434806999999985e+01
5.734400000000000000e+04	1.239999999999999991e+00	1.554363172999999954e+01
5.760000000000000000e+04	1.245535714000000072e+00	1.554298117999999995e+01
5.785600000000000000e+04	1.251071429000000013e+00	1.554239847999999924e+01
5.811200000000000000e+04	1.256607143000000093e+00	1.554188641000000004e+01
5.836800000000000000e+04	1.262142856999999951e+00	1.554144679000000018e+01
5.862400000000000000e+04	1.267678571000000032e+00	1.554108212999999949e+01
5.888000000000000000e+04	1.273214285999999973e+00	1.554079512000000030e+01
5.913600000000000000e+04	1.278750000000000053e+00	1.554058823999999994e+01
5.939200000000000000e+04	1.284285713999999912e+00	1.554046368999999927e+01
5.964800000000000000e+04	1.289821429000000075e+00	1.554042497999999917e+01
5.990400000000000000e+04	1.295357142999999933e+00	1.553470905000000002e+01
6.016000000000000000e+04	1.300892857000000014e+00	1.552699529000000034e+01
6.041600000000000000e+04	1.306428571000000094e+00	1.551923908000000019e+01
6.067200000000000000e+04	1.311964286000000035e+00	1.551143931999999914e+01
6.092800000000000000e+04	1.317499999999999893e+00	1.550359807000000067e+01
6.118400000000000000e+04	1.323035713999999974e+00	1.549571386999999945e+01
6.144000000000000000e+04	1.328571428999999915e+00	1.548778871999999929e+01
6.169600000000000000e+04	1.334107142999999995e+00	1.547982177999999998e+01
6.195200000000000000e+04	1.339642857000000076e+00	1.547181387000000008e+01
6.220800000000000000e+04	1.345178570999999934e+00	1.546376592999999922e+01
6.246400000000000000e+04	1.350714286000000097e+00	1.545567692000000015e+01
6.272000000000000000e+04	1.356249999999999956e+00	1.544754881000000069e+01
6.297600000000000000e+04	1.361785714000000036e+00	1.543938140999999931e+01
6.323200000000000000e+04	1.367321428999999977e+00	1.543117456999999959e+01
6.348800000000000000e+04	1.372857143000000057e+00	1.542292961999999967e+01
6.374400000000000000e+04	1.378392856999999916e+00	1.541464679999999987e+01
6.400000000000000000e+04	1.383928570999999996e+00	1.540632639999999931e+01
6.425600000000000000e+04	1.389464285999999937e+00	1.539796881999999911e+01
6.451200000000000000e+04	1.395000000000000018e+00	1.538957472000000060e+01
6.476800000000000000e+04	1.400535714000000098e+00	1.538114492000000055e+01
6.502400000000000000e+04	1.406071429000000039e+00	1.537267954000000003e+01
6.528000000000000000e+04	1.411607142999999898e+00	1.536417922999999952e+01
6.553600000000000000e+04	1.417142856999999978e+00	1.535564459000000070e+01
6.579200000000000000e+04	1.422678571000000058e+00	1.534707620000000006e+01
6.604800000000000000e+04	1.428214286000000000e+00	1.533847467999999914e+01
6.630400000000000000e+04	1.433750000000000080e+00	1.532984064000000046e+01
6.656000000000000000e+04	1.439285713999999938e+00	1.532117470999999931e+01
6.681600000000000000e+04	1.444821429000000101e+00	1.531247755000000055e+01
6.707200000000000000e+04	1.450357142999999960e+00	1.530374982000000017e+01
6.732800000000000000e+04	1.455892857000000040e+00	1.529499219000000032e+01
6.758400000000000000e+04	1.461428570999999899e+00	1.528620538999999923e+01
6.784000000000000000e+04	1.466964286000000062e+00	1.527739011999999974e+01
6.809600000000000000e+04	1.472499999999999920e+00	1.526854722000000031e+01
6.835200000000000000e+04	1.478035714000000000e+00	1.525967707000000040e+01
6.860800000000000000e+04	1.483571428999999942e+00	1.525078103000000063e+01
6.886400000000000000e+04	1.489107143000000022e+00	1.524185967000000019e+01
6.912000000000000000e+04	1.494642857000000102e+00	1.523291382000000027e+01
6.937600000000000000e+04	1.500178570999999961e+00	1.522394388999999926e+01
6.963200000000000000e+04	1.505714285999999902e+00	1.521495127999999930e+01
6.988800000000000000e+04	1.511249999999999982e+00	1.520593717999999939e+01
7.014400000000000000e+04	1.516785714000000063e+00	1.519690152999999988e+01
7.040000000000000000e+04	1.522321429000000004e+00	1.518784592999999994e+01
7.065600000000000000e+04	1.527857143000000084e+00	1.517877164999999984e+01
7.091200000000000000e+04	1.533392856999999943e+00	1.516967849999999984e+01
7.116800000000000000e+04	1.538928571000000023e+00	1.516056911999999990e+01
7.142400000000000000e+04	1.544464285999999964e+00	1.515144298999999961e+01
7.168000000000000000e+04	1.550000000000000044e+00	1.514230247000000062e+01
7.193600000000000000e+04	1.555535713999999903e+00	1.513314757999999927e+01
7.219200000000000000e+04	1.561071429000000066e+00	1.512398036999999995e+01
7.244800000000000000e+04	1.566607142999999924e+00	1.511480120999999954e+01
7.270400000000000000e+04	1.572142857000000005e+00	1.510561198999999988e+01
7.296000000000000000e+04	1.577678571000000085e+00	1.509641345000000001e+01
7.321600000000000000e+04	1.583214286000000026e+00	1.508720710999999959e+01
7.347200000000000000e+04	1.588750000000000107e+00	1.507799407999999985e+01
7.372800000000000000e+04	1.594285713999999965e+00	1.506877577999999929e+01
7.398400000000000000e+04	1.599821428999999906e+00	1.505955359999999921e+01
7.424000000000000000e+04	1.605357142999999986e+00	1.505032888000000035e+01
7.449600000000000000e+04	1.610892857000000067e+00	1.504110307999999918e+01
7.475200000000000000e+04	1.616428570999999925e+00	1.503187755000000081e+01
7.500800000000000000e+04	1.621964286000000088e+00	1.502265406999999975e+01
7.526400000000000000e+04	1.627499999999999947e+00	1.501343388999999995e+01
7.552000000000000000e+04	1.633035714000000027e+00	1.500421874999999972e+01
7.577600000000000000e+04	1.638571428999999968e+00	1.499501023000000011e+01
7.603200000000000000e+04	1.644107143000000049e+00	1.498581000000000074e+01
7.628800000000000000e+04	1.649642856999999907e+00	1.497661981000000075e+01
7.654400000000000000e+04	1.655178570999999987e+00	1.496744140999999928e+01
7.680000000000000000e+04	1.660714285999999928e+00	1.495827667000000005e+01
7.705600000000000000e+04	1.666250000000000009e+00	1.494912743000000077e+01
7.731200000000000000e+04	1.671785714000000089e+00	1.493999559999999960e+01
7.756800000000000000e+04	1.677321429000000030e+00	1.493088312999999978e+01
7.782400000000000000e+04	1.682857143000000111e+00	1.492179203999999970e+01
7.808000000000000000e+04	1.688392856999999969e+00	1.491272421999999942e+01
7.833600000000000000e+04	1.693928571000000050e+00	1.490368196000000012e+01
7.859200000000000000e+04	1.699464285999999991e+00	1.489466756999999930e+01
7.884800000000000000e+04	1.705000000000000071e+00	1.488568330000000017e+01
7.910400000000000000e+04	1.710535713999999929e+00	1.487673138999999978e+01
7.936000000000000000e+04	1.716071429000000093e+00	1.486781404000000073e+01
7.961600000000000000e+04	1.721607142999999951e+00	1.485893384000000061e+01
7.987200000000000000e+04	1.727142857000000031e+00	1.485009340999999949e+01
8.012800000000000000e+04	1.732678570999999890e+00	1.484129519999999935e+01
8.038400000000000000e+04	1.738214286000000053e+00	1.483254190999999977e+01
8.064000000000000000e+04	1.743749999999999911e+00	1.482383626999999926e+01
8.089600000000000000e+04	1.749285713999999992e+00	1.481518108999999939e+01
8.115200000000000000e+04	1.754821428999999933e+00	1.480657923999999959e+01
8.140800000000000000e+04	1.760357143000000013e+00	1.479803382999999961e+01
8.166400000000000000e+04	1.765892857000000093e+00	1.478954768000000008e+01
8.192000000000000000e+04	1.771428570999999952e+00	1.478112430999999916e+01
8.217600000000000000e+04	1.776964285999999893e+00	1.477276649999999947e+01
8.243200000000000000e+04	1.782499999999999973e+00	1.476447819000000017e+01
8.268800000000000000e+04	1.788035714000000054e+00	1.475626210999999977e+01
8.294400000000000000e+04	1.793571428999999995e+00	1.474812239000000069e+01
8.320000000000000000e+04	1.799107143000000075e+00	1.474006261999999978e+01
8.345600000000000000e+04	1.804642856999999934e+00	1.473208628999999981e+01
8.371200000000000000e+04	1.810178571000000014e+00	1.472419720000000076e+01
8.396800000000000000e+04	1.815714285999999955e+00	1.471639966000000044e+01
8.422400000000000000e+04	1.821250000000000036e+00	1.470869785000000007e+01
8.448000000000000000e+04	1.826785713999999894e+00	1.470109599000000067e+01
8.473600000000000000e+04	1.832321429000000057e+00	1.469359824000000003e+01
8.499200000000000000e+04	1.837857142999999915e+00	1.468620927999999992e+01
8.524800000000000000e+04	1.843392856999999996e+00	1.467893388999999971e+01
8.550400000000000000e+04	1.848928571000000076e+00	1.467177691000000017e+01
8.576000000000000000e+04	1.854464286000000017e+00	1.466474323999999996e+01
8.601600000000000000e+04	1.860000000000000098e+00	1.465783805000000051e+01
8.627200000000000000e+04	1.865535713999999956e+00	1.465106669999999944e+01
8.652800000000000000e+04	1.871071428999999897e+00	1.464443469000000064e+01
8.678400000000000000e+04	1.876607142999999978e+00	1.463794773999999954e+01
8.704000000000000000e+04	1.882142857000000058e+00	1.463161166000000080e+01
8.729600000000000000e+04	1.887678570999999916e+00	1.462543252999999943e+01
8.755200000000000000e+04	1.893214286000000079e+00	1.461941668000000050e+01
8.780800000000000000e+04	1.898749999999999938e+00	1.461357062000000084e+01
8.806400000000000000e+04	1.904285714000000018e+00	1.460790129999999998e+01
8.832000000000000000e+04	1.909821428999999959e+00	1.460241551000000015e+01
8.857600000000000000e+04	1.915357143000000040e+00	1.459712043999999942e+01
8.883200000000000000e+04	1.920892856999999898e+00	1.459202362999999991e+01
8.908800000000000000e+04	1.926428570999999978e+00	1.458713277999999924e+01
8.934400000000000000e+04	1.931964285999999920e+00	1.458245634999999929e+01
8.960000000000000000e+04	1.937500000000000000e+00	1.457800244999999961e+01
8.985600000000000000e+04	1.943035714000000080e+00	1.457377943999999914e+01
9.011200000000000000e+04	1.948571429000000022e+00	1.456979703999999920e+01
9.036800000000000000e+04	1.954107143000000102e+00	1.456606415000000077e+01
9.062400000000000000e+04	1.959642856999999960e+00	1.456259065000000064e+01
9.088000000000000000e+04	1.965178571000000041e+00	1.455938672999999994e+01
