# # Time 	 Separation 	 Orbital Phase 
# 
3.487716238999999940e-01	2.337253159999999941e+00	-3.152892855645984213e-17
3.543073381999999882e-01	2.337250308000000221e+00	-3.450310332786145084e-17
3.598430524999999824e-01	2.337247275999999818e+00	-3.772064228945538582e-17
3.653787667000000239e-01	2.337244054000000126e+00	-4.114833844390646043e-17
3.709144810000000181e-01	2.337240637999999926e+00	-4.474764397794114176e-17
3.764501953000000123e-01	2.337237022000000053e+00	-4.847710071914135291e-17
3.819859096000000065e-01	2.337233196000000124e+00	-5.230178739939478689e-17
3.875216239000000007e-01	2.337229155999999808e+00	-5.620216011886855564e-17
3.930573381999999949e-01	2.337224892000000054e+00	-6.017212962320273149e-17
3.985930524999999891e-01	2.337220397999999921e+00	-6.420579227719028548e-17
4.041287666999999750e-01	2.337215669999999967e+00	-6.828452553546330943e-17
4.096644810000000247e-01	2.337210696000000087e+00	-7.237353745192683831e-17
4.152001953000000189e-01	2.337205469999999785e+00	-7.640486772435973802e-17
4.207359096000000132e-01	2.337199988000000062e+00	-8.034628539455562745e-17
4.262716239000000074e-01	2.337194240000000089e+00	-8.414653876607192289e-17
4.318073382000000016e-01	2.337188219999999816e+00	-8.776491813740187676e-17
4.373430524999999958e-01	2.337181919999999913e+00	-9.118253918377052293e-17
4.428787666999999817e-01	2.337175333999999882e+00	-9.440511115714179728e-17
4.484144809999999759e-01	2.337168453999999951e+00	-9.745416955726204698e-17
4.539501953000000256e-01	2.337161274000000066e+00	-1.003497774882265067e-16
4.594859096000000198e-01	2.337153786000000011e+00	-1.030927987038333491e-16
4.650216239000000140e-01	2.337145982000000011e+00	-1.056541119389948251e-16
4.705573382000000082e-01	2.337137853999999848e+00	-1.079783806368488407e-16
4.760930525000000024e-01	2.337129399999999801e+00	-1.100058832001343307e-16
4.816287666999999884e-01	2.337120608000000210e+00	-1.116986432392110289e-16
4.871644809999999826e-01	2.337111472000000134e+00	-1.130537304555235901e-16
4.927001952999999768e-01	2.337101985999999965e+00	-1.140984675882261544e-16
4.982359096000000265e-01	2.337092141999999928e+00	-1.148766519621458748e-16
5.037716238999999652e-01	2.337081936000000137e+00	-1.154375436497319153e-16
5.093073381999999594e-01	2.337071356000000044e+00	-1.158323252326061901e-16
5.148430524999999536e-01	2.337060398000000205e+00	-1.161192790876258688e-16
5.203787667000000505e-01	2.337049056000000125e+00	-1.163699458947086746e-16
5.259144810000000447e-01	2.337037319999999863e+00	-1.166704699435437343e-16
5.314501953000000389e-01	2.337025188000000142e+00	-1.171172771288077282e-16
5.369859096000000331e-01	2.337012647999999970e+00	-1.178086272813359523e-16
5.425216239000000273e-01	2.336999695999999904e+00	-1.188353049747251742e-16
5.480573382000000215e-01	2.336986324000000170e+00	-1.202374013550281835e-16
5.535930525000000157e-01	2.336972525999999828e+00	-1.220887738412377312e-16
5.591287667000000017e-01	2.336958296000000157e+00	-1.244058873868752853e-16
5.646644809999999959e-01	2.336943626000000052e+00	-1.271871343806219900e-16
5.702001952999999901e-01	2.336928512000000069e+00	-1.304226008775744843e-16
