# ############################################################################### 
# # ShiftTracker1.asc:
# # itt	time	x	y	z	vx	vy	vz	ax	ay	az
# #=======================================================================
# 
4.400000000000000000e+01	1.136666667000000019e-01	-1.499998112999999966e+00	-1.324300087000000007e-05	-1.678562676000000128e-11	9.228779121000000273e-05	-6.470106027999999662e-04	-1.104435574999999999e-09	3.358569912999999872e-03	-2.349539148999999980e-02	-5.666113791000000106e-08
4.500000000000000000e+01	1.162500000000000061e-01	-1.499997851000000049e+00	-1.508108770999999916e-05	-2.005258932999999893e-11	1.015111740999999985e-04	-7.115174838000000055e-04	-1.264630668999999946e-09	3.570341746999999930e-03	-2.497040555999999883e-02	-6.201100436000000060e-08
4.600000000000000000e+01	1.188333332999999964e-01	-1.499997588000000048e+00	-1.692293339000000042e-05	-2.333460196000000035e-11	1.113627408000000059e-04	-7.803894828999999745e-04	-1.442303269000000017e-09	3.813509709999999848e-03	-2.666012867000000161e-02	-6.877649021999999702e-08
4.700000000000000000e+01	1.214166666999999949e-01	-1.499997274000000047e+00	-1.912727013000000136e-05	-2.755958462000000160e-11	1.217936148000000034e-04	-8.532916394000000142e-04	-1.635477159000000043e-09	4.037757660999999852e-03	-2.822018961000000159e-02	-7.477698952999999799e-08
4.800000000000000000e+01	1.239999999999999991e-01	-1.499996958000000102e+00	-2.133549602000000135e-05	-3.180153169999999826e-11	1.328762964999999872e-04	-9.307102311999999661e-04	-1.848351657000000053e-09	4.290070358000000299e-03	-2.996848716000000135e-02	-8.240303166000000589e-08
4.900000000000000000e+01	1.265833332999999894e-01	-1.499996585000000104e+00	-2.395074991999999905e-05	-3.717167003999999921e-11	1.445675872999999871e-04	-1.012356349999999966e-03	-2.078763228999999935e-09	4.525660953000000021e-03	-3.160494930999999813e-02	-8.919157608000000470e-08
5.000000000000000000e+01	1.291666666999999880e-01	-1.499996211000000024e+00	-2.656996728999999944e-05	-4.256392889000000288e-11	1.569248748000000076e-04	-1.098605198999999966e-03	-2.334863141000000013e-09	4.783466119000000065e-03	-3.338665126999999788e-02	-9.913544990999999499e-08
5.100000000000000000e+01	1.317500000000000060e-01	-1.499995771999999894e+00	-2.964216751999999963e-05	-4.930883150000000292e-11	1.699146332999999928e-04	-1.189238800000000070e-03	-2.610930041000000120e-09	5.028293609999999816e-03	-3.508397455000000081e-02	-1.068646064000000046e-07
5.200000000000000000e+01	1.343333332999999963e-01	-1.499995332999999986e+00	-3.271839707000000230e-05	-5.607401673000000099e-11	1.835822278000000056e-04	-1.284551601000000079e-03	-2.910550957000000152e-09	5.290681729999999888e-03	-3.689527788000000058e-02	-1.159822901999999958e-07
5.300000000000000000e+01	1.369166666999999948e-01	-1.499994821000000034e+00	-3.629471278999999914e-05	-6.442223149999999464e-11	1.979023815999999885e-04	-1.384380281999999900e-03	-3.231567006999999921e-09	5.543285369999999615e-03	-3.864336005999999962e-02	-1.242642775000000076e-07
5.400000000000000000e+01	1.395000000000000129e-01	-1.499994309000000081e+00	-3.987520104000000275e-05	-7.278737575999999358e-11	2.129251856000000077e-04	-1.489054468999999933e-03	-3.572243111999999947e-09	5.815278963999999731e-03	-4.051904037000000208e-02	-1.318746210000000095e-07
5.500000000000000000e+01	1.420833333000000032e-01	-1.499993718999999892e+00	-4.400432850999999926e-05	-8.295289958999999572e-11	2.286200706999999891e-04	-1.598371923999999901e-03	-3.935041483000000102e-09	6.075439396000000339e-03	-4.231643421999999738e-02	-1.404380794000000054e-07
5.600000000000000000e+01	1.446666667000000017e-01	-1.499993128000000064e+00	-4.813770881000000286e-05	-9.314311524000000146e-11	2.450334581999999927e-04	-1.712628139999999985e-03	-4.326514228000000330e-09	6.353569326000000315e-03	-4.422821244999999846e-02	-1.515378364000000108e-07
5.700000000000000000e+01	1.472499999999999920e-01	-1.499992449999999922e+00	-5.286943281999999906e-05	-1.053927574000000059e-10	2.621358671999999982e-04	-1.831635102000000103e-03	-4.741796973999999614e-09	6.620287382000000082e-03	-4.606721132000000246e-02	-1.607546116999999962e-07
5.800000000000000000e+01	1.498333333000000100e-01	-1.499991773000000084e+00	-5.760533752999999756e-05	-1.176697809000000052e-10	2.799469511000000194e-04	-1.955497068000000213e-03	-5.188877349999999956e-09	6.894613124999999891e-03	-4.794656743000000332e-02	-1.730633711000000100e-07
5.900000000000000000e+01	1.524166667000000086e-01	-1.499991002000000018e+00	-6.298945298000000240e-05	-1.322953492999999985e-10	2.984579422000000056e-04	-2.084173720000000087e-03	-5.661510363000000216e-09	7.165544947999999935e-03	-4.981031696000000342e-02	-1.829547146999999995e-07
6.000000000000000000e+01	1.549999999999999989e-01	-1.499990230000000091e+00	-6.837775399000000558e-05	-1.469386666999999948e-10	3.176793314000000176e-04	-2.217711035000000108e-03	-6.154755020999999836e-09	7.440537748000000152e-03	-5.169186354000000067e-02	-1.909334161000000018e-07
6.100000000000000000e+01	1.575833332999999892e-01	-1.499989358000000106e+00	-7.446433589000000164e-05	-1.641779900999999953e-10	3.376071132000000143e-04	-2.356096219999999786e-03	-6.673286493999999871e-09	7.713980054999999836e-03	-5.356845889999999749e-02	-2.007218602999999958e-07
6.200000000000000000e+01	1.601666666999999877e-01	-1.499988485000000038e+00	-8.055519034000000432e-05	-1.814350425999999970e-10	3.582620777000000050e-04	-2.499443075000000198e-03	-7.212406462000000158e-09	7.995470132000000521e-03	-5.548910527999999925e-02	-2.086916006000000019e-07
6.300000000000000000e+01	1.627500000000000058e-01	-1.499987503999999916e+00	-8.739499939000000659e-05	-2.015217943999999946e-10	3.796295849999999734e-04	-2.647668017000000089e-03	-7.775516826000000014e-09	8.271293137000000628e-03	-5.737739686999999977e-02	-2.179782055999999942e-07
6.400000000000000000e+01	1.653333332999999961e-01	-1.499986523000000016e+00	-9.423904745000000096e-05	-2.216335084000000104e-10	4.017216242999999999e-04	-2.800815682000000213e-03	-8.367615609000000457e-09	8.551757135999999565e-03	-5.928296700999999974e-02	-2.291995286999999880e-07
6.500000000000000000e+01	1.679166666999999946e-01	-1.499985426000000066e+00	-1.018827723000000047e-04	-2.448413185000000256e-10	4.245310891999999983e-04	-2.958861252999999986e-03	-8.983668438000000463e-09	8.829470287999999570e-03	-6.117893060000000049e-02	-2.384720628000000196e-07
6.600000000000000000e+01	1.705000000000000127e-01	-1.499984328999999894e+00	-1.095306426000000025e-04	-2.680708233000000049e-10	4.480512296999999977e-04	-3.121720806999999948e-03	-9.624915001999999833e-09	9.104570525999999830e-03	-6.304240797000000562e-02	-2.482244765999999896e-07
6.700000000000000000e+01	1.730833333000000029e-01	-1.499983108999999981e+00	-1.180284227999999961e-04	-2.946540436999999901e-10	4.722888253000000138e-04	-3.289463310999999907e-03	-1.029027886000000005e-08	9.382295073000000707e-03	-6.493258239999999404e-02	-2.575602022000000196e-07
6.800000000000000000e+01	1.756666667000000015e-01	-1.499981887999999985e+00	-1.265303213000000028e-04	-3.212518439000000229e-10	4.972345256999999600e-04	-3.461988257999999881e-03	-1.097257412999999946e-08	9.656400130999999790e-03	-6.678385035999999386e-02	-2.641142999000000130e-07
6.900000000000000000e+01	1.782499999999999918e-01	-1.499980536999999892e+00	-1.359320042000000065e-04	-3.514171286000000160e-10	5.228947618999999977e-04	-3.639361135000000139e-03	-1.167688442000000015e-08	9.932994678999999133e-03	-6.866046833000000182e-02	-2.726362391999999905e-07
7.000000000000000000e+01	1.808333333000000098e-01	-1.499979186000000020e+00	-1.453378042999999952e-04	-3.815947685000000069e-10	5.492651735999999965e-04	-3.821515222000000135e-03	-1.239554261000000024e-08	1.020790128999999984e-02	-7.051125981000000431e-02	-2.781902674999999958e-07
7.100000000000000000e+01	1.834166667000000084e-01	-1.499977697000000054e+00	-1.556930588999999913e-04	-4.155206738000000240e-10	5.763476207000000273e-04	-4.008485650000000004e-03	-1.313260849000000031e-08	1.048352789999999930e-02	-7.237564935000000144e-02	-2.853158270000000196e-07
7.200000000000000000e+01	1.859999999999999987e-01	-1.499976208000000089e+00	-1.660523700999999921e-04	-4.494568515000000127e-10	6.041316350999999816e-04	-4.200167002000000302e-03	-1.388160365999999988e-08	1.075510237000000015e-02	-7.419923301000000415e-02	-2.899336127999999898e-07
7.300000000000000000e+01	1.885833332999999890e-01	-1.499974573000000033e+00	-1.774103167999999944e-04	-4.872904605999999669e-10	6.326237944000000094e-04	-4.396624511000000145e-03	-1.464526803000000035e-08	1.102922293000000060e-02	-7.604806795999999314e-02	-2.956120139000000163e-07
7.400000000000000000e+01	1.911666666999999875e-01	-1.499972937999999978e+00	-1.887722042999999872e-04	-5.251280837000000281e-10	6.617989128999999604e-04	-4.597658529000000181e-03	-1.541359387000000165e-08	1.129359425999999951e-02	-7.781962000000000601e-02	-2.974164522999999782e-07
7.500000000000000000e+01	1.937500000000000056e-01	-1.499971152000000085e+00	-2.011809903000000115e-04	-5.669572270000000078e-10	6.916739730999999555e-04	-4.803401028000000433e-03	-1.619192641999999971e-08	1.156453944999999948e-02	-7.964225750999999465e-02	-3.012900209000000215e-07
7.600000000000000000e+01	1.963333332999999958e-01	-1.499969364000000027e+00	-2.135936068999999950e-04	-6.087838222999999901e-10	7.222144905999999635e-04	-5.013591936999999693e-03	-1.696730013999999972e-08	1.182213579000000042e-02	-8.136422302000000106e-02	-3.001446670999999967e-07
