# # Time 	 Separation 	 Orbital Phase 
# 
2.505833332999999885e-01	2.999813832851205841e+00	4.559565108094578659e-04
2.531666666999999871e-01	2.999805988471739848e+00	4.750193480440849532e-04
2.557499999999999774e-01	2.999797702734330773e+00	4.951281102550274997e-04
2.583333333000000231e-01	2.999789418212466252e+00	5.152385377518460931e-04
2.609166667000000217e-01	2.999780684616722759e+00	5.364144666443112228e-04
2.635000000000000120e-01	2.999771951368737533e+00	5.575919780612632404e-04
2.660833333000000023e-01	2.999762759350194763e+00	5.798536180498462932e-04
2.686666667000000008e-01	2.999753568820884730e+00	6.021167408686201213e-04
2.712499999999999911e-01	2.999743910843611694e+00	6.254814893674526992e-04
2.738333332999999814e-01	2.999734253506562531e+00	6.488476372977229796e-04
2.764166666999999800e-01	2.999724121063617410e+00	6.733317771395956174e-04
2.790000000000000258e-01	2.999713991421589565e+00	6.978172491504215300e-04
2.815833333000000160e-01	2.999703379035498774e+00	7.234360268784046028e-04
2.841666667000000146e-01	2.999692767620877554e+00	7.490560774869822226e-04
2.867500000000000049e-01	2.999681666844065120e+00	7.758237666517571896e-04
2.893333332999999952e-01	2.999670568219317879e+00	8.025926886939504764e-04
2.919166666999999937e-01	2.999658973634771630e+00	8.305227605476954477e-04
2.944999999999999840e-01	2.999647380393100082e+00	8.584540463666523024e-04
2.970833332999999743e-01	2.999635284615149722e+00	8.875593517346667873e-04
2.996666666999999729e-01	2.999623190381131899e+00	9.166658195635730326e-04
3.022500000000000187e-01	2.999610588055340088e+00	9.469584165246721979e-04
3.048333333000000089e-01	2.999597987484829531e+00	9.772520684296877660e-04
3.074166667000000075e-01	2.999584872286949810e+00	1.008742824138779762e-03
3.099999999999999978e-01	2.999571758066204907e+00	1.040234540985517358e-03
3.125833332999999881e-01	2.999558124701870998e+00	1.072933123438817200e-03
3.151666666999999866e-01	2.999544494547245144e+00	1.105632650194862850e-03
3.177499999999999769e-01	2.999530338753132241e+00	1.139547989845799813e-03
3.203333333000000227e-01	2.999516186411962604e+00	1.173464288344605285e-03
3.229166667000000213e-01	2.999501503956723880e+00	1.208604855197526135e-03
3.255000000000000115e-01	2.999486824208139613e+00	1.243746346879608805e-03
3.280833333000000018e-01	2.999471610891742746e+00	1.280119941152876471e-03
3.306666667000000004e-01	2.999456399546265306e+00	1.316494393986571967e-03
3.332499999999999907e-01	2.999440652199062196e+00	1.354107946976185195e-03
3.358333332999999810e-01	2.999424907097803406e+00	1.391722321207004322e-03
3.384166666999999795e-01	2.999408619580667068e+00	1.430582027094911505e-03
3.410000000000000253e-01	2.999392336595235964e+00	1.469442540039814357e-03
3.435833333000000156e-01	2.999375507799784124e+00	1.509553983285826526e-03
3.461666667000000142e-01	2.999358683832318295e+00	1.549666195650127717e-03
3.487500000000000044e-01	2.999341309679952605e+00	1.591034212613282517e-03
3.513333332999999947e-01	2.999323940662305787e+00	1.632402939155421211e-03
3.539166666999999933e-01	2.999306020102888937e+00	1.675031458088494440e-03
3.564999999999999836e-01	2.999288104995485593e+00	1.717660654056569298e-03
3.590833332999999739e-01	2.999269635007282275e+00	1.761552840640292399e-03
3.616666666999999724e-01	2.999251168798955369e+00	1.805445718308339382e-03
3.642500000000000182e-01	2.999232146389582354e+00	1.850604277131027596e-03
3.668333333000000085e-01	2.999213131098263485e+00	1.895763544099254546e-03
3.694166667000000071e-01	2.999193556304940778e+00	1.942190830979996724e-03
3.719999999999999973e-01	2.999173985977946266e+00	1.988618817816428450e-03
3.745833332999999876e-01	2.999153856866439760e+00	2.036316715870568807e-03
3.771666666999999862e-01	2.999133732579561951e+00	2.084015284477883350e-03
3.797499999999999765e-01	2.999113045242807640e+00	2.132985070240250251e-03
3.823333333000000223e-01	2.999092366099062712e+00	2.181955507392688374e-03
3.849166667000000208e-01	2.999071122656557176e+00	2.232197871179097612e-03
