# # Time 	 R_dot 	 Theta_dot 
# 
9.274166667000000031e-01	-2.626947899637604306e-02	5.885030244148787421e-02
9.300000000000000488e-01	-2.632862214610138737e-02	5.897392594200021043e-02
9.325833332999999836e-01	-2.638753929492727857e-02	5.909713302893857684e-02
9.351666667000000377e-01	-2.644630086886348014e-02	5.921982859266822219e-02
9.377499999999999725e-01	-2.650484214953907625e-02	5.934211343480437495e-02
9.403333333000000183e-01	-2.656323392772518693e-02	5.946389440817727995e-02
9.429166666999999613e-01	-2.662141023203183632e-02	5.958527070746446469e-02
9.455000000000000071e-01	-2.667943197956281279e-02	5.970614963079459020e-02
9.480833333000000529e-01	-2.673724047973486881e-02	5.982663015019443198e-02
9.506666666999999959e-01	-2.679489141152076315e-02	5.994661861469704339e-02
9.532500000000000417e-01	-2.685233057609317381e-02	6.006621512960724774e-02
9.558333332999999765e-01	-2.690961763517203675e-02	6.018532516573392444e-02
9.584166667000000306e-01	-2.696669433875762203e-02	6.030404916426361506e-02
9.609999999999999654e-01	-2.702362176509024577e-02	6.042229231834150144e-02
9.635833333000000112e-01	-2.708034135640714421e-02	6.054015499235462089e-02
9.661666666999999542e-01	-2.713691068394306904e-02	6.065754186773709977e-02
9.687500000000000000e-01	-2.719327363613995019e-02	6.077455332572184038e-02
9.713333333000000458e-01	-2.724948181579962478e-02	6.089109088023754446e-02
